AllocationInstance([12.0 59.0 78.0 92.0; 37.0 59.0 72.0 78.0], [10.0 23.0 24.0 34.0 57.0 65.0 66.0 70.0 79.0 85.0 85.0 91.0 91.0 92.0 93.0; 1.0 9.0 13.0 23.0 27.0 30.0 37.0 43.0 47.0 71.0 76.0 82.0 87.0 95.0 99.0], 68.0, [3.0, 64.0, 54.0, 30.0, 73.0, 74.0, 13.0, 11.0, 63.0, 31.0, 27.0, 90.0, 22.0, 94.0, 34.0], 0.1)
AllocationInstance([9.0 30.0 72.0 79.0; 47.0 52.0 69.0 71.0], [15.0 19.0 25.0 27.0 29.0 42.0 42.0 42.0 47.0 50.0 53.0 82.0 95.0 96.0 96.0; 20.0 20.0 28.0 30.0 32.0 40.0 48.0 55.0 62.0 66.0 71.0 74.0 79.0 80.0 81.0], 74.0, [91.0, 59.0, 82.0, 13.0, 70.0, 16.0, 53.0, 91.0, 63.0, 37.0, 30.0, 39.0, 4.0, 39.0, 55.0], 0.1)
AllocationInstance([53.0 53.0 77.0 92.0; 63.0 69.0 80.0 93.0], [5.0 28.0 29.0 41.0 48.0 51.0 55.0 70.0 76.0 85.0 88.0 94.0 96.0 97.0 98.0; 4.0 13.0 24.0 25.0 26.0 33.0 44.0 47.0 73.0 75.0 81.0 88.0 90.0 91.0 100.0], 81.0, [25.0, 90.0, 63.0, 86.0, 37.0, 86.0, 84.0, 3.0, 59.0, 53.0, 83.0, 21.0, 46.0, 65.0, 14.0], 0.1)
AllocationInstance([23.0 26.0 31.0 91.0; 2.0 15.0 41.0 92.0], [1.0 3.0 7.0 14.0 15.0 18.0 19.0 22.0 32.0 43.0 51.0 62.0 63.0 79.0 80.0; 14.0 21.0 30.0 31.0 46.0 51.0 54.0 56.0 60.0 61.0 64.0 70.0 72.0 83.0 99.0], 72.0, [19.0, 75.0, 42.0, 63.0, 93.0, 18.0, 90.0, 8.0, 31.0, 42.0, 43.0, 42.0, 91.0, 33.0, 36.0], 0.1)
AllocationInstance([45.0 53.0 62.0 92.0; 29.0 54.0 66.0 77.0], [4.0 24.0 39.0 44.0 51.0 52.0 58.0 59.0 74.0 77.0 77.0 79.0 83.0 90.0 99.0; 1.0 7.0 11.0 18.0 29.0 29.0 34.0 45.0 46.0 50.0 56.0 59.0 68.0 75.0 88.0], 73.0, [59.0, 26.0, 50.0, 83.0, 2.0, 48.0, 47.0, 47.0, 19.0, 84.0, 46.0, 59.0, 51.0, 94.0, 15.0], 0.1)
AllocationInstance([5.0 50.0 62.0 99.0; 7.0 21.0 47.0 60.0], [14.0 38.0 47.0 59.0 60.0 61.0 70.0 71.0 74.0 79.0 83.0 86.0 86.0 93.0 93.0; 1.0 6.0 10.0 11.0 14.0 18.0 24.0 33.0 34.0 38.0 63.0 63.0 79.0 83.0 88.0], 86.0, [35.0, 81.0, 30.0, 17.0, 11.0, 98.0, 96.0, 82.0, 15.0, 4.0, 62.0, 88.0, 69.0, 84.0, 92.0], 0.1)
AllocationInstance([37.0 78.0 87.0 98.0; 10.0 37.0 39.0 60.0], [2.0 6.0 8.0 13.0 13.0 26.0 40.0 54.0 62.0 71.0 72.0 72.0 76.0 85.0 95.0; 6.0 8.0 8.0 11.0 26.0 38.0 42.0 48.0 58.0 63.0 71.0 81.0 86.0 87.0 97.0], 57.0, [12.0, 3.0, 3.0, 61.0, 25.0, 77.0, 86.0, 67.0, 41.0, 29.0, 65.0, 14.0, 83.0, 1.0, 10.0], 0.1)
AllocationInstance([3.0 4.0 18.0 48.0; 21.0 44.0 72.0 75.0], [9.0 17.0 20.0 21.0 33.0 36.0 37.0 38.0 40.0 48.0 54.0 60.0 70.0 72.0 83.0; 11.0 17.0 33.0 34.0 39.0 42.0 47.0 49.0 54.0 59.0 65.0 65.0 66.0 74.0 100.0], 69.0, [22.0, 72.0, 6.0, 9.0, 88.0, 21.0, 55.0, 32.0, 81.0, 75.0, 88.0, 37.0, 3.0, 82.0, 24.0], 0.1)
AllocationInstance([23.0 40.0 92.0 97.0; 5.0 42.0 66.0 77.0], [6.0 15.0 17.0 24.0 27.0 29.0 29.0 40.0 49.0 59.0 68.0 74.0 76.0 81.0 84.0; 10.0 13.0 15.0 17.0 38.0 39.0 41.0 51.0 62.0 78.0 89.0 93.0 93.0 95.0 97.0], 84.0, [68.0, 82.0, 53.0, 72.0, 80.0, 48.0, 83.0, 78.0, 31.0, 26.0, 50.0, 41.0, 52.0, 22.0, 54.0], 0.1)
AllocationInstance([4.0 26.0 50.0 87.0; 12.0 58.0 64.0 71.0], [11.0 22.0 23.0 36.0 38.0 45.0 46.0 47.0 74.0 80.0 82.0 83.0 84.0 93.0 99.0; 15.0 28.0 39.0 54.0 61.0 61.0 66.0 69.0 70.0 72.0 79.0 87.0 88.0 90.0 96.0], 84.0, [11.0, 78.0, 69.0, 96.0, 42.0, 70.0, 6.0, 39.0, 74.0, 32.0, 75.0, 96.0, 41.0, 48.0, 68.0], 0.1)
