instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb,n,m,pc,k,obs_pb,obs_bb,obs_box
10,10,9,1,0.313,2.179,9.832,3.0,1.756741265914151e7,1.756741265914151e7,1.756741265914151e7,4,10,0.1,1,4.574024917678833e6,4.574024917678833e6,4.574024917678833e6
20,10,9,1,0.287,2.186,9.747,2.0,1.7930342058261074e7,1.7930342058261074e7,1.7930342058261074e7,4,10,0.1,1,4.743247002869589e6,4.743247002869589e6,4.743247002869589e6
30,10,9,1,0.311,2.309,10.333,3.0000000000000284,2.095016966515011e7,2.095016966515011e7,2.0950169665150113e7,4,10,0.1,1,5.703435391869907e6,5.703435391869907e6,5.703435391869907e6
40,11,10,1,0.276,2.005,9.001,0.5,2.2367064108982664e7,2.2367064108982664e7,2.2367064108982667e7,4,10,0.1,1,7.532816571608439e6,7.532816571608439e6,7.532816571608439e6
50,9,8,1,0.249,1.962,9.003,1.0,1.4444401010831822e7,1.4444401010831822e7,1.4444401010831822e7,4,10,0.1,1,4.700493940254163e6,4.700493940254163e6,4.700493940254163e6
10,51878,153,1,3600.024,445.803,9.974,4.999905037550434e-6,1.7151669855690982e7,1.4657095568457488e7,1.756741265914151e7,4,10,0.1,2,4.574024917678833e6,4.5740705224122405e6,4.574226681081016e6
11,81947,96,1,3600.029,70.884,9.695,3.9999373744803395e-6,1.4710804692343637e7,1.3683195516606178e7,1.6533743785511628e7,4,10,0.1,2,5.131551013943419e6,5.018931903614044e6,5.1315510139427185e6
12,47531,157,1,3600.131,470.89,10.382,0.3333333333333333,1.5736324651875157e7,1.2840107183821982e7,1.6025932037764836e7,4,10,0.1,2,3.8618735045284852e6,3.8618865599098206e6,3.861873504529953e6
13,49339,188,1,3600.132,955.218,10.023,0.24999999999999156,2.9496427627031166e7,2.3673340753363818e7,2.9623017516042884e7,4,10,0.1,2,7.976146495037309e6,7.72452412446022e6,7.976192473519495e6
14,84860,101,1,3600.022,73.088,10.07,1.0,1.3155410548040908e7,1.2251639326738514e7,1.4661695188658902e7,4,10,0.1,2,4.921040385207545e6,4.921042569868088e6,4.6221955520038605e6
15,58125,111,1,3600.023,81.52,10.156,0.40000000000000036,1.74046415802418e7,1.498416951884551e7,1.7865683877650615e7,4,10,0.1,2,4.956499550204299e6,4.784736784671783e6,4.956499550204152e6
16,47886,76,1,834.45,32.032,15.627,2.0,1.2501449894863758e7,1.2501449894863755e7,1.5001665085602349e7,4,10,0.1,2,4.474443229864167e6,4.474443229865374e6,4.47444322986597e6
17,46072,73,1,626.455,29.361,9.758,1.1416289377545279e-6,1.324082915083849e7,1.3237583903911253e7,1.6215869989027029e7,4,10,0.1,2,5.295312860383987e6,5.297412935181731e6,5.295360159836553e6
18,49473,136,1,3600.037,347.367,9.424,0.1999999999999993,2.075506880268888e7,1.6391969529407207e7,2.099091621098501e7,4,10,0.1,2,6.0146057841809485e6,5.1902182030239105e6,6.014676005914688e6
19,46686,160,1,3600.031,516.873,10.795,0.5000000001500027,2.2473243557380438e7,1.7759499804632913e7,2.2582865635448687e7,4,10,0.1,2,5.810687691007482e6,5.592474276004791e6,5.810693295194626e6
1,52383,143,1,3600.07,219.88,11.896,0.9999999999999913,1.889988602984799e7,1.6440358229639173e7,1.9806027850977555e7,4,10,0.1,2,5.825554039261955e6,5.825554039260464e6,5.82555403925972e6
20,56993,105,1,3600.037,83.351,10.091,1.0000000002000036,1.7236284423766643e7,1.4460053837883253e7,1.7930342058261074e7,4,10,0.1,2,4.743247002869589e6,4.743247002870632e6,4.743247050784519e6
21,229671,73,1,3600.001,21.947,10.107,9.488080038977387e-6,9.955056472275637e6,9.852436412310189e6,1.2212813094219891e7,4,10,0.1,2,3.592268331854863e6,3.5586478920326233e6,3.592275984157471e6
22,55672,124,1,3600.049,136.844,9.94,0.16666666666667052,1.6185765980417712e7,1.393491286744522e7,1.6721699744981954e7,4,10,0.1,2,5.145530430393879e6,5.145530430393998e6,5.145599128592376e6
23,42681,93,1,3600.04,88.218,11.684,2.1999999999999993,1.8984733332453504e7,1.5125493790233526e7,1.9297646799615644e7,4,10,0.1,2,7.198007135559082e6,6.7614217266635895e6,7.1980078609371185e6
24,49404,128,1,3600.003,182.656,10.179,0.3999999999999986,1.759580315061512e7,1.4469332792358639e7,1.805744058807764e7,4,10,0.1,2,6.251408739910126e6,5.211622909773262e6,6.25140873991028e6
25,47447,129,1,3600.012,323.784,11.448,0.40000000000002345,2.129722406612514e7,1.7655841910953846e7,2.151791389371128e7,4,10,0.1,2,6.952385273025798e6,6.843938927240372e6,6.952385273025038e6
