instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb,n,m,pc,k,obs_pb,obs_bb,obs_box
10,10,9,1,0.313,2.179,9.832,3.0,1.756741265914151e7,1.756741265914151e7,1.756741265914151e7,4,10,0.1,1,4.574024917678833e6,4.574024917678833e6,4.574024917678833e6
20,10,9,1,0.287,2.186,9.747,2.0,1.7930342058261074e7,1.7930342058261074e7,1.7930342058261074e7,4,10,0.1,1,4.743247002869589e6,4.743247002869589e6,4.743247002869589e6
30,10,9,1,0.311,2.309,10.333,3.0000000000000284,2.095016966515011e7,2.095016966515011e7,2.0950169665150113e7,4,10,0.1,1,5.703435391869907e6,5.703435391869907e6,5.703435391869907e6
40,11,10,1,0.276,2.005,9.001,0.5,2.2367064108982664e7,2.2367064108982664e7,2.2367064108982667e7,4,10,0.1,1,7.532816571608439e6,7.532816571608439e6,7.532816571608439e6
50,9,8,1,0.249,1.962,9.003,1.0,1.4444401010831822e7,1.4444401010831822e7,1.4444401010831822e7,4,10,0.1,1,4.700493940254163e6,4.700493940254163e6,4.700493940254163e6
10,9,9,1,0.324,2.39,10.996,1.0,1.7521244413036365e7,1.7521244413036365e7,1.752124441303637e7,4,10,0.3,1,1.3634683402397156e7,1.3634683402397156e7,1.3634683402397156e7
20,8,7,1,0.333,2.58,12.136,5.0,1.0132674400174737e7,1.0132674400174737e7,1.0132674400174737e7,4,10,0.3,1,8.740058955127716e6,8.740058955127716e6,8.740058955127716e6
30,6,5,1,0.264,2.152,9.522,3.0,1.2701093919528965e7,1.2701093919528965e7,1.2701093919528967e7,4,10,0.3,1,1.199553881891479e7,1.199553881891479e7,1.199553881891479e7
40,7,6,1,0.302,2.2,9.853,3.8333333333333286,1.5069195405918878e7,1.5069195405918878e7,1.5069195405918878e7,4,10,0.3,1,1.3948849030905629e7,1.3948849030905629e7,1.3948849030905629e7
50,9,8,1,0.262,1.946,9.107,0.3333333333333286,2.2853466725793995e7,2.2853466725793995e7,2.2853466725793995e7,4,10,0.3,1,1.5720341993638992e7,1.5720341993638992e7,1.5720341993638992e7
10,13,14,1,0.449,2.35,9.971,0.7142857142857224,2.5996843862803094e7,2.5996843862803094e7,2.599684386280309e7,4,15,0.1,1,1.0652727042337418e7,1.0652727042337418e7,1.0652727042337418e7
20,13,11,1,0.388,2.161,9.774,0.25,3.1348776007204417e7,3.1348776007204417e7,3.1348776007204413e7,4,15,0.1,1,1.0217956808696747e7,1.0217956808696747e7,1.0217956808696747e7
30,9,8,1,0.279,1.991,8.921,2.5,1.8856032006306004e7,1.8856032006306004e7,1.8856032006306e7,4,15,0.1,1,7.345713809141159e6,7.345713809141159e6,7.345713809141159e6
40,7,6,1,0.274,2.038,9.368,2.4285714285714306,1.2938621968641745e7,1.2938621968641745e7,1.2938621968641749e7,4,15,0.1,1,6.885070201293945e6,6.885070201293945e6,6.885070201293945e6
50,11,10,1,0.48,3.022,13.06,2.0,2.511804342779971e7,2.511804342779971e7,2.5118043427799705e7,4,15,0.1,1,8.825419329761505e6,8.825419329761505e6,8.825419329761505e6
50,2,1,1,0.241,2.022,9.766,0.0,3797.2545888069444,3797.2545888069444,3797.2545888069444,4,15,0.3,1,3797.2545890808105,3797.2545890808105,3797.2545890808105
10,8,8,1,0.314,2.089,9.611,1.0000000002000036,1.4477943243833344e7,1.4477943243833344e7,1.4477943243833344e7,4,15,0.3,1,1.4477943243831635e7,1.4477943243831635e7,1.4477943243831635e7
20,4,5,1,0.272,2.029,9.402,6.0,1.8186722944160674e7,1.8186722944160674e7,1.8186722944160677e7,4,15,0.3,1,1.753305540633583e7,1.753305540633583e7,1.753305540633583e7
30,3,5,1,0.251,2.09,9.503,8.0,9.097042781049583e6,9.097042781049583e6,9.097042781049587e6,4,15,0.3,1,9.097042781051636e6,9.097042781051636e6,9.097042781051636e6
40,8,7,1,0.287,2.154,9.827,1.0,1.4502977028812416e7,1.4502977028812416e7,1.4502977028812416e7,4,15,0.3,1,1.337607036674881e7,1.337607036674881e7,1.337607036674881e7
10,12,11,1,0.388,2.365,10.243,1.0000000002000036,3.1529393560833253e7,3.1529393560833253e7,3.1529393560833253e7,4,20,0.1,1,1.0763470321067693e7,1.0763470321067693e7,1.0763470321067693e7
20,16,15,1,0.459,2.159,9.251,0.6666666666666679,3.443816908555472e7,3.443816908555472e7,3.443816908555472e7,4,20,0.1,1,1.427461066944052e7,1.427461066944052e7,1.427461066944052e7
30,10,10,1,0.338,2.142,9.436,1.0000000002000036,3.0181426469540842e7,3.0181426469540842e7,3.0181426469540834e7,4,20,0.1,1,1.3387331078598693e7,1.3387331078598693e7,1.3387331078598693e7
