instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb
10,37298,188,1,3600.083,2648.552,11.499,0.22222222222222143,2.5870036679251157e7,2.2699763582342826e7,2.599684386280309e7
11,41589,134,1,3600.001,409.881,9.369,0.125,2.642252696570854e7,2.46181189817463e7,2.8355840183994703e7
12,45039,153,1,3600.001,160.791,10.289,0.2857142858428574,1.2367981841673251e7,1.2941563813857393e7,1.4475224046683045e7
13,37033,112,1,3600.141,113.588,11.538,0.49999999999998934,1.9142042408787206e7,1.6703682703407412e7,1.9385874796476662e7
14,40685,107,1,3600.084,86.848,9.621,1.6000000000000014,2.028135349704668e7,1.6695944382471826e7,2.0617483706127003e7
15,43661,119,1,3600.074,180.785,10.015,0.25,2.2196949639270708e7,1.968204917439221e7,2.2634320738637585e7
16,38793,130,1,3600.084,742.79,9.565,1.0,2.5621567689007908e7,2.2197662355488475e7,2.5739635466153074e7
17,37529,181,1,3600.162,3600.032,10.023,1.4444444444444429,2.1907083123233497e7,1.8968521741190348e7,2.1996133670677073e7
18,33961,205,1,3600.142,3282.978,11.293,0.12499999999999645,3.283575778067506e7,2.7472282021373946e7,3.2835757780675057e7
19,50694,180,1,3600.118,1419.857,9.642,0.25,1.8462061407198034e7,1.747664604961068e7,1.98795816813451e7
1,37756,162,1,3600.12,1775.933,10.163,0.28571428571428825,2.42973082562885e7,2.0810306294104554e7,2.4409793810916632e7
20,35935,240,1,3600.148,3499.869,11.702,0.4999999999999963,3.1002737309317064e7,2.612414944940194e7,3.1348776007204413e7
21,38093,163,1,3600.096,949.912,9.73,0.125,3.0650128164713398e7,2.5771219469336435e7,3.0900317830647126e7
22,40227,193,1,3600.063,3600.022,10.441,0.22222222234444544,2.8066699103712533e7,2.4161912251993574e7,2.8066699103712533e7
23,37524,213,1,3600.153,3600.033,10.192,0.8750000001875016,3.0011319913532354e7,2.464014272247756e7,3.0011319913532346e7
24,36046,128,1,3600.152,550.755,11.992,4.99990503399772e-6,1.7213666539492477e7,1.5524018013113e7,1.7319269569752034e7
25,35945,164,1,3600.08,3600.03,9.694,0.8571428571428577,3.705442237288461e7,3.0271669834276024e7,3.705442237288461e7
26,36276,183,1,3600.149,3600.058,11.963,4.571428571428572,3.3305546309746377e7,2.767124305284525e7,3.330554630974638e7
