instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb,n,m,pc,k
10,36246,117,1,3600.018,3600.053,13.853,2.375,1.2049400188433472e7,1.0059771358085912e7,1.2712600716299482e7,8,10,0.3,3
11,33028,76,1,3600.2,3600.029,10.681,6.0,1.884250507484414e7,1.3384192431066617e7,1.9083803348513022e7,8,10,0.3,3
12,37615,127,1,3600.133,3600.081,10.561,1.1999999999999957,2.6614648460090622e7,1.950977900764483e7,2.8035736071745865e7,8,10,0.3,3
13,51769,116,1,3600.079,1269.548,10.088,0.12500000011250023,7.279960153585684e6,6.618369096042578e6,7.67692051015732e6,8,10,0.3,3
14,45842,108,1,3600.121,3600.83,9.457,1.2222222222222214,1.1738385100999735e7,1.0297201853039434e7,1.2767793633666055e7,8,10,0.3,3
15,33375,120,1,3600.148,3600.05,10.76,3.000000000400007,3.75285908279855e7,2.485584123465951e7,3.765162740791196e7,8,10,0.3,3
16,27693,78,1,3600.05,3600.045,12.48,7.333333333333333,2.1123909535958488e7,1.537524643383597e7,2.1123909535958488e7,8,10,0.3,3
17,61892,157,1,3600.166,3600.05,8.863,0.8888888888888866,2.1431976650166508e7,1.873775772103731e7,2.540977315074318e7,8,10,0.3,3
18,2,1,1,0.303,2.583,11.168,0.0,1254.925843577975,1254.9258434288204,1254.9258435779752,8,10,0.3,3
19,50070,163,1,3600.094,3600.059,9.162,0.7499999999999982,1.4947940651350448e7,1.3182926599014575e7,1.6713230995741425e7,8,10,0.3,3
1,35949,114,1,3600.155,3600.044,9.762,3.7777777777777746,2.800993894797462e7,1.960749210997049e7,2.8137249591677334e7,8,10,0.3,3
20,36953,143,1,3600.154,3600.067,9.695,2.111111111111111,2.0438856073067795e7,1.5750864441974983e7,2.091968868427465e7,8,10,0.3,3
21,49895,185,1,3600.019,3600.026,11.255,0.14285714297144025,1.1955839027253468e7,1.036192811380818e7,1.2752794483976116e7,8,10,0.3,3
22,37944,108,1,3600.01,3600.057,9.359,2.555555555555557,2.0780019177827287e7,1.5677643717497481e7,2.102304181051816e7,8,10,0.3,3
23,46768,127,1,3600.109,3600.05,10.59,2.600000000000012,1.8089769900360323e7,1.6490190071986413e7,1.895108285161556e7,8,10,0.3,3
24,76168,142,1,3600.029,1079.347,10.358,0.44444444444444287,7.517447577546286e6,7.392207734256698e6,7.767946869755344e6,8,10,0.3,3
25,71746,47,1,3600.037,40.133,13.081,0.875,2.813610508629837e6,2.8136104247497763e6,2.813610508629837e6,8,10,0.3,3
26,35402,93,1,3600.04,3600.057,10.135,5.0,2.338978936242342e7,1.6468691822582586e7,2.350911478366921e7,8,10,0.3,3
27,41355,98,1,3600.169,3600.043,9.482,3.3333333333333286,1.2146132918926073e7,1.0919431516220061e7,1.2146132918926077e7,8,10,0.3,3
28,38645,150,1,3600.028,3600.034,10.197,2.666666666666668,1.9294391320627958e7,1.662152005822019e7,1.9875428477337115e7,8,10,0.3,3
29,34668,109,1,3600.171,3600.023,10.127,6.500000000000008,2.3301710843109675e7,1.5605107426726919e7,2.3301710843109686e7,8,10,0.3,3
2,37285,69,1,3600.055,3600.053,10.311,4.0,1.294455893605252e7,9.833102187639447e6,1.3193476593120074e7,8,10,0.3,3
30,172280,49,1,3600.021,29.016,9.533,2.6665360337574384e-6,3.5881962935718186e6,3.5881677217613533e6,3.8441742918453575e6,8,10,0.3,3
31,36375,102,1,3600.002,3600.037,9.673,3.375,1.9938330868132956e7,1.7723071900860757e7,2.4245618250837483e7,8,10,0.3,3
32,32737,115,1,3600.088,3600.057,11.866,0.875000000000002,2.328367281718933e7,1.6843924165484082e7,2.353134247650494e7,8,10,0.3,3
33,28259,70,1,3600.184,3600.136,15.175,6.400000000000006,1.8558000108297005e7,1.3059959688577456e7,1.8672547041909393e7,8,10,0.3,3
34,35843,124,1,3600.054,3600.019,9.817,3.3333333333333357,2.575167174065887e7,1.9505381988440137e7,2.5879147228498697e7,8,10,0.3,3
35,37197,97,1,3600.011,3600.022,10.58,3.0,1.9757129888466027e7,1.6224676516151981e7,1.9757129888466034e7,8,10,0.3,3
36,37670,110,1,3600.099,3600.051,13.403,2.200000000000003,2.2267577832535144e7,1.8663958636960033e7,2.3297187467299704e7,8,10,0.3,3
37,54967,135,1,3600.048,3600.044,9.819,1.0,1.074507753000285e7,9.373693234151408e6,1.1430772174914818e7,8,10,0.3,3
38,42035,116,1,3600.072,3600.039,9.633,4.0,1.910155375943043e7,1.5530029336027242e7,1.9730490377809767e7,8,10,0.3,3
39,33079,123,1,3600.058,3600.068,10.213,1.5,1.982237758028135e7,1.498662056181061e7,2.006393728385125e7,8,10,0.3,3
3,30770,108,1,3600.007,3600.047,11.177,5.714285714285715,3.2444701587110218e7,2.3629919151796155e7,3.244470158711022e7,8,10,0.3,3
40,48304,102,1,3600.114,662.165,10.305,2.0,5.682943363912519e6,5.571535971154111e6,5.794327448873523e6,8,10,0.3,3
41,39415,71,1,3600.126,3600.064,10.393,4.0,1.420186111652826e7,1.10066869234151e7,1.455688768209957e7,8,10,0.3,3
42,31899,94,1,3600.145,3600.04,10.0,4.285714285714285,2.6326619247359727e7,1.8513297871050462e7,2.6326619247359734e7,8,10,0.3,3
43,47610,115,1,3600.025,3600.044,8.986,1.0,1.1031858028751098e7,9.819820138643928e6,1.2122736638734225e7,8,10,0.3,3
44,38152,142,1,3600.167,3600.062,9.743,1.0,1.78174496275392e7,1.4867441501917634e7,1.8157840579240333e7,8,10,0.3,3
45,62394,77,1,3600.128,265.065,13.123,4.11082491069692e-6,5.7897453874014e6,5.326765295196889e6,6.136981618229923e6,8,10,0.3,3
46,34505,111,1,3600.168,3600.037,9.864,5.777777778455558,4.682542660183707e7,3.0253032673872255e7,4.69569557171864e7,8,10,0.3,3
47,88050,31,1,1910.879,14.481,10.3,1.0,2.6814729306445387e6,2.6814729306445387e6,2.6814729306445387e6,8,10,0.3,3
48,25974,66,1,379.102,73.492,11.011,0.20000000000000284,3.005710281722946e6,3.0057094862101646e6,3.130911785576133e6,8,10,0.3,3
49,33309,97,1,3600.212,3600.072,10.621,3.142857142857146,1.9763483049042042e7,1.5106183831684414e7,1.9889356000862516e7,8,10,0.3,3
4,35954,96,1,3600.006,3600.037,9.397,6.333333333333336,1.6174393460730473e7,1.1951473072237164e7,1.6174393460730474e7,8,10,0.3,3
50,86842,64,1,3600.089,162.637,9.251,0.7000000000000011,4.1273765549477963e6,4.1273765549477967e6,4.24195990793015e6,8,10,0.3,3
5,36443,89,1,3600.085,3600.031,9.66,2.799999999999997,1.798623144722926e7,1.3581760025856646e7,1.8597950087469593e7,8,10,0.3,3
6,57524,118,1,3600.121,3600.027,9.965,1.3333333333333321,1.0282810582274687e7,9.388741219980897e6,1.1623914605085742e7,8,10,0.3,3
7,37584,107,1,3600.085,3600.061,9.833,3.000000000400007,1.4257060310436469e7,1.0950007059963794e7,1.437109977728896e7,8,10,0.3,3
8,43600,125,1,3600.072,3600.037,9.538,0.9999999999999833,1.3823376304289227e7,1.2243783463287221e7,1.4876448829142837e7,8,10,0.3,3
9,34734,86,1,3600.023,3600.026,10.048,6.222222222222221,2.3435236826243423e7,1.6501292911529368e7,2.3793870053444266e7,8,10,0.3,3
