instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb,n,m,pc,k
10,10,9,1,0.313,2.179,9.832,3.0,1.756741265914151e7,1.756741265914151e7,1.756741265914151e7,4,10,0.1,1
11,9,8,1,0.26,1.987,8.886,2.0,1.6533743785511628e7,1.6533743785511628e7,1.6533743785511628e7,4,10,0.1,1
12,11,10,1,0.28,1.968,8.813,2.3333333333333357,1.6025932037764832e7,1.6025932037764832e7,1.6025932037764836e7,4,10,0.1,1
13,11,10,1,0.308,2.2,9.62,2.500000000000001,2.962301751604289e7,2.962301751604289e7,2.9623017516042884e7,4,10,0.1,1
14,9,8,1,0.298,2.276,9.806,3.0,1.4661695188658902e7,1.4661695188658902e7,1.4661695188658902e7,4,10,0.1,1
15,10,8,1,0.268,2.041,9.039,4.0,1.7865683877650615e7,1.7865683877650615e7,1.7865683877650615e7,4,10,0.1,1
16,10,8,1,0.261,2.006,9.017,3.0,1.500166508560235e7,1.500166508560235e7,1.5001665085602349e7,4,10,0.1,1
17,8,7,1,0.288,2.252,9.843,5.0,1.6215869989027029e7,1.6215869989027029e7,1.6215869989027029e7,4,10,0.1,1
18,10,9,1,0.305,2.094,9.254,1.0000000000000353,2.0990916210985005e7,2.0990916210985005e7,2.099091621098501e7,4,10,0.1,1
19,10,9,1,0.269,2.06,9.24,4.0,2.2582865635448687e7,2.2582865635448687e7,2.2582865635448687e7,4,10,0.1,1
1,10,9,1,0.326,2.357,10.438,0.33333333333333215,1.9806027850977555e7,1.9806027850977555e7,1.9806027850977555e7,4,10,0.1,1
20,10,9,1,0.287,2.186,9.747,2.0,1.7930342058261074e7,1.7930342058261074e7,1.7930342058261074e7,4,10,0.1,1
21,9,8,1,0.281,2.159,9.418,2.666666666666668,1.2212813094219891e7,1.2212813094219891e7,1.2212813094219891e7,4,10,0.1,1
22,10,9,1,0.379,2.266,9.841,3.0,1.6721699744981952e7,1.6721699744981952e7,1.6721699744981954e7,4,10,0.1,1
23,11,10,1,0.337,2.358,10.233,1.0,1.9297646799615644e7,1.9297646799615644e7,1.9297646799615644e7,4,10,0.1,1
24,10,9,1,0.297,2.34,10.322,3.0,1.805744058807764e7,1.805744058807764e7,1.805744058807764e7,4,10,0.1,1
25,9,8,1,0.323,2.307,10.124,3.5,2.1517913893711284e7,2.1517913893711284e7,2.151791389371128e7,4,10,0.1,1
26,9,8,1,0.322,2.397,10.373,3.0,1.4531438658219e7,1.4531438658219e7,1.4531438658218998e7,4,10,0.1,1
27,10,9,1,0.327,2.509,10.534,5.000000000000007,1.9724611256591167e7,1.9724611256591167e7,1.9724611256591167e7,4,10,0.1,1
28,10,9,1,0.362,2.763,11.322,4.0,1.2485243400533408e7,1.2485243400533408e7,1.2485243400533406e7,4,10,0.1,1
29,10,9,1,0.305,2.298,10.083,1.6666666666666679,1.8705353000077493e7,1.8705353000077493e7,1.870535300007749e7,4,10,0.1,1
2,11,10,1,0.31,2.322,10.068,2.0,2.6834748583927847e7,2.6834748583927847e7,2.6834748583927847e7,4,10,0.1,1
30,10,9,1,0.311,2.309,10.333,3.0000000000000284,2.095016966515011e7,2.095016966515011e7,2.0950169665150113e7,4,10,0.1,1
31,11,10,1,0.353,2.625,11.81,2.0,1.666928255723378e7,1.666928255723378e7,1.6669282557233777e7,4,10,0.1,1
32,10,9,1,0.358,2.867,12.634,5.0,1.6119985430271104e7,1.6119985430271104e7,1.6119985430271104e7,4,10,0.1,1
33,11,8,1,0.293,1.969,8.807,3.0,1.9543517547950372e7,1.9543517547950372e7,1.9543517547950372e7,4,10,0.1,1
34,9,8,1,0.319,2.443,11.074,1.6666666666666679,1.6267712622317923e7,1.6267712622317923e7,1.6267712622317923e7,4,10,0.1,1
35,11,10,1,0.275,2.003,8.869,1.8000000000000007,2.1830988882965446e7,2.1830988882965446e7,2.1830988882965446e7,4,10,0.1,1
36,8,7,1,0.249,1.967,8.909,7.0,1.3184152778498191e7,1.3184152778498191e7,1.3184152778498191e7,4,10,0.1,1
37,8,5,1,0.269,2.109,9.516,7.5,1.5266401285330895e7,1.5266401285330895e7,1.5266401285330895e7,4,10,0.1,1
38,10,9,1,0.273,2.121,9.42,1.0000000002000036,1.6480121008501146e7,1.6480121008501146e7,1.6480121008501142e7,4,10,0.1,1
39,9,8,1,0.257,1.949,8.912,4.399999999999999,1.3736888110685756e7,1.3736888110685756e7,1.3736888110685756e7,4,10,0.1,1
3,9,8,1,0.281,2.173,9.612,2.666666666666668,1.2305929476883758e7,1.2305929476883758e7,1.2305929476883752e7,4,10,0.1,1
40,11,10,1,0.276,2.005,9.001,0.5,2.2367064108982664e7,2.2367064108982664e7,2.2367064108982667e7,4,10,0.1,1
41,10,9,1,0.333,2.503,10.549,1.3333333333333357,2.9689487666169893e7,2.9689487666169893e7,2.968948766616989e7,4,10,0.1,1
42,11,10,1,0.345,2.396,10.369,1.25,2.3335196093525417e7,2.3335196093525417e7,2.333519609352541e7,4,10,0.1,1
43,10,9,1,0.304,2.307,10.113,3.0,1.686106587236412e7,1.686106587236412e7,1.686106587236412e7,4,10,0.1,1
44,10,9,1,0.273,2.063,9.104,1.0,1.8585292695777483e7,1.8585292695777483e7,1.8585292695777483e7,4,10,0.1,1
45,11,10,1,0.325,2.428,9.725,1.0,1.2521228495292515e7,1.2521228495292515e7,1.2521228495292513e7,4,10,0.1,1
46,11,10,1,0.301,2.443,9.741,2.333333333333334,1.3894680112571077e7,1.3894680112571077e7,1.3894680112571081e7,4,10,0.1,1
47,9,8,1,0.328,2.142,9.557,9.75,2.6095919665028468e7,2.6095919665028468e7,2.6095919665028468e7,4,10,0.1,1
48,8,6,1,0.264,2.026,9.25,2.2500000003250022,1.3333887245770276e7,1.3333887245770276e7,1.3333887245770276e7,4,10,0.1,1
49,10,9,1,0.266,1.985,9.048,2.0,2.2962451329577014e7,2.2962451329577014e7,2.296245132957702e7,4,10,0.1,1
4,8,7,1,0.271,2.088,9.436,2.0,1.3136868014639718e7,1.3136868014639718e7,1.3136868014639717e7,4,10,0.1,1
50,9,8,1,0.249,1.962,9.003,1.0,1.4444401010831822e7,1.4444401010831822e7,1.4444401010831822e7,4,10,0.1,1
5,10,9,1,0.276,2.046,8.998,0.3999999999999986,1.933870406469573e7,1.933870406469573e7,1.9338704064695735e7,4,10,0.1,1
6,11,10,1,0.297,2.091,9.163,4.5,2.142883552717452e7,2.142883552717452e7,2.142883552717452e7,4,10,0.1,1
7,9,8,1,0.273,2.09,9.493,4.0,1.2071960271388065e7,1.2071960271388065e7,1.2071960271388063e7,4,10,0.1,1
8,10,8,1,0.256,1.963,8.808,2.0,1.4865560583478168e7,1.4865560583478168e7,1.486556058347817e7,4,10,0.1,1
9,10,9,1,0.289,2.115,9.723,0.6666666666666665,2.227839326674437e7,2.227839326674437e7,2.2278393266744364e7,4,10,0.1,1
10,44601,153,1,3600.049,768.498,12.533,4.999905037550434e-6,1.7151669855690982e7,1.4657095568457488e7,1.756741265914151e7,4,10,0.1,2
11,84055,96,1,3600.039,61.62,9.18,3.9999373744803395e-6,1.4710804692343637e7,1.3683195516606178e7,1.6533743785511628e7,4,10,0.1,2
12,43083,157,1,3600.054,600.418,12.02,0.3333333333333333,1.5736324651875157e7,1.2840107183821982e7,1.6025932037764836e7,4,10,0.1,2
13,49302,188,1,3600.001,966.058,10.04,0.24999999999999156,2.6838049473989416e7,2.3673340753363818e7,2.9623017516042884e7,4,10,0.1,2
14,81950,101,1,3600.057,73.274,9.994,1.0,1.3155410548040908e7,1.2251639326738514e7,1.4661695188658902e7,4,10,0.1,2
15,50892,111,1,3600.123,97.545,10.505,0.40000000000000036,1.74046415802418e7,1.498416951884551e7,1.7865683877650615e7,4,10,0.1,2
16,47886,76,1,895.833,30.139,12.648,2.0,1.2501449894863758e7,1.2501449894863755e7,1.5001665085602349e7,4,10,0.1,2
17,46072,73,1,941.608,55.808,9.366,1.1416289377545279e-6,1.324082915083849e7,1.3237583903911253e7,1.6215869989027029e7,4,10,0.1,2
18,44062,136,1,3600.069,198.39,13.255,0.1999999999999993,2.075506880268888e7,1.6391969529407207e7,2.099091621098501e7,4,10,0.1,2
19,48473,160,1,3600.025,603.525,9.294,0.5000000001500027,2.2473243557380438e7,1.7759499804632913e7,2.2582865635448687e7,4,10,0.1,2
1,53033,143,1,3600.039,185.852,11.42,0.9999999999999913,1.889988602984799e7,1.6440358229639173e7,1.9806027850977555e7,4,10,0.1,2
20,47724,105,1,3600.091,73.362,11.985,1.0000000002000036,1.7236284423766643e7,1.4460053837883253e7,1.7930342058261074e7,4,10,0.1,2
21,187384,73,1,3600.001,21.064,9.574,9.488080038977387e-6,9.854121518259605e6,9.852436412310189e6,1.2212813094219891e7,4,10,0.1,2
22,48770,124,1,3600.043,176.578,11.197,0.16666666666667052,1.6185765980417712e7,1.393491286744522e7,1.6721699744981954e7,4,10,0.1,2
23,44985,93,1,3600.087,80.455,10.378,2.1999999999999993,1.8984733332453504e7,1.5125493790233526e7,1.9297646799615644e7,4,10,0.1,2
24,53316,128,1,3600.112,258.301,8.905,0.3999999999999986,1.759580315061512e7,1.4469332792358639e7,1.805744058807764e7,4,10,0.1,2
25,52516,129,1,3600.081,382.985,8.914,0.40000000000002345,2.129722406612514e7,1.7655841910953846e7,2.151791389371128e7,4,10,0.1,2
26,52208,108,1,917.18,56.953,10.372,0.33333333333331955,1.205325414004251e7,1.2053254140042508e7,1.4531438658218998e7,4,10,0.1,2
27,49329,158,1,3600.144,387.465,9.909,1.9998020093225932e-6,1.9481103556507573e7,1.6437271800053682e7,1.9724611256591167e7,4,10,0.1,2
28,53632,136,1,3600.025,405.449,9.181,0.33333333346666905,1.2258252211277083e7,1.0290995237722281e7,1.2485243400533406e7,4,10,0.1,2
29,53084,94,1,3600.178,55.759,10.781,0.1999999999999993,1.804130897526765e7,1.5163769976780131e7,1.870535300007749e7,4,10,0.1,2
2,46709,180,1,3600.15,661.112,10.445,0.14285714285714413,2.657549122828725e7,2.2297555068107694e7,2.6834748583927847e7,4,10,0.1,2
30,49956,134,1,3600.113,307.968,10.287,0.4999998830281669,2.0717395096092403e7,1.710938927569799e7,2.0950169665150113e7,4,10,0.1,2
31,55760,96,1,3600.101,69.893,10.201,0.3333333333333357,1.4793308737125538e7,1.3799136815909078e7,1.6669282557233777e7,4,10,0.1,2
32,58559,118,1,3600.134,93.964,9.13,1.666666666666664,1.5352933324313525e7,1.3378611682084253e7,1.6119985430271104e7,4,10,0.1,2
33,49717,153,1,3600.131,241.851,9.186,0.5714285714285711,1.9241388932786e7,1.6100790046403583e7,1.9543517547950372e7,4,10,0.1,2
34,49573,92,1,3600.088,105.779,9.854,0.6666666666666654,1.5226605519278089e7,1.2884271286207495e7,1.6267712622317923e7,4,10,0.1,2
35,47858,121,1,3600.026,639.551,9.581,1.1428571428571452,2.1489884793280207e7,1.807901628402595e7,2.1830988882965446e7,4,10,0.1,2
36,33716,92,1,426.041,30.725,9.486,0.6666666666666666,1.096844855649334e7,1.0968448556493342e7,1.3184152778498191e7,4,10,0.1,2
37,277280,72,1,3600.002,27.107,8.989,7.999607988917745e-6,1.2784057855093403e7,1.278122609689924e7,1.5266401285330895e7,4,10,0.1,2
38,53168,105,1,3600.09,139.601,9.038,0.6666666666666702,1.603770943541563e7,1.3936254400320424e7,1.6480121008501142e7,4,10,0.1,2
39,120372,119,1,3209.051,71.288,9.071,3.333270029770574e-6,1.2101612904489564e7,1.2101612806381702e7,1.3736888110685756e7,4,10,0.1,2
3,97442,81,1,2585.826,32.683,9.54,0.33333333333333215,1.0048057299837336e7,1.0048057299837334e7,1.2305929476883752e7,4,10,0.1,2
40,48784,125,1,3600.091,114.806,10.714,0.5714285714285712,2.2138844916100033e7,1.7574461058447395e7,2.2367064108982667e7,4,10,0.1,2
41,51515,134,1,3600.013,166.815,8.877,2.499999999999999,2.9288283229504492e7,2.3136731174756356e7,2.968948766616989e7,4,10,0.1,2
42,42341,115,1,3600.072,233.681,12.776,0.499999590542231,2.2751822285405785e7,1.8318274766088482e7,2.333519609352541e7,4,10,0.1,2
43,45388,168,1,3600.097,576.198,12.543,0.75,1.6648980983699223e7,1.3997919875388063e7,1.686106587236412e7,4,10,0.1,2
44,55292,2415,1,3600.029,3600.017,8.957,5.999850060334211e-6,1.812922320702956e7,1.436665427558515e7,1.8585292695777483e7,4,10,0.1,2
45,51318,128,1,3600.148,173.32,8.956,0.33333333346666905,1.2193895706947694e7,9.90250469332883e6,1.2521228495292513e7,4,10,0.1,2
46,49845,136,1,3600.032,277.784,9.027,4.169456246927439e-6,1.3644328360030778e7,1.1266092039217452e7,1.3894680112571081e7,4,10,0.1,2
47,51452,143,1,3600.147,777.243,10.145,0.3333333333333357,2.559166576073024e7,2.1683698002419025e7,2.6095919665028468e7,4,10,0.1,2
48,16900,58,1,174.621,15.885,11.035,0.800000000180006,1.0883501552893724e7,1.088058219528819e7,1.3333887245770276e7,4,10,0.1,2
49,50536,116,1,3600.043,263.38,10.104,2.000000000000002,2.2443544786931813e7,1.8551745717092775e7,2.296245132957702e7,4,10,0.1,2
4,88764,106,1,2344.904,74.796,9.755,2.9997030708273087e-6,1.0708382890122788e7,1.0708382841101877e7,1.3136868014639717e7,4,10,0.1,2
50,64038,106,1,977.06,63.466,9.048,0.2499999999999991,1.249562845931478e7,1.2495628459314782e7,1.4444401010831822e7,4,10,0.1,2
5,64832,113,1,3600.002,150.554,10.165,0.5,1.703960423647998e7,1.60005533072331e7,1.9338704064695735e7,4,10,0.1,2
6,47267,113,1,3600.055,173.241,9.875,3.7999999999999945,2.109401617289523e7,1.7187836468587335e7,2.142883552717452e7,4,10,0.1,2
7,100754,103,1,3449.032,73.743,11.427,2.666666666666666,1.0443340439839512e7,1.0443340391960954e7,1.2071960271388063e7,4,10,0.1,2
8,78838,98,1,3600.022,46.097,9.561,0.7499999999999991,1.2726686847945241e7,1.2162815312462049e7,1.486556058347817e7,4,10,0.1,2
9,48137,155,1,3600.106,317.079,9.096,0.1999999999999993,2.2076789695347432e7,1.8246321838805627e7,2.2278393266744364e7,4,10,0.1,2
1,30442,96,1,3600.073,3600.043,12.675,8.0,1.9806027850977555e7,1.2686343926576976e7,1.9806027850977555e7,4,10,0.1,3
10,31101,77,1,3600.029,3600.066,12.472,8.2,1.756741265914151e7,1.08114043691674e7,1.756741265914151e7,4,10,0.1,3
11,30452,82,1,3600.016,3600.107,12.784,6.799999999999999,1.6533743785511628e7,1.0946669327443255e7,1.6533743785511628e7,4,10,0.1,3
12,29665,85,1,3600.08,3600.058,13.474,5.499999999999999,1.6025932037764832e7,9.36476947010966e6,1.6025932037764836e7,4,10,0.1,3
13,34814,76,1,3600.107,3600.056,10.108,9.4,2.962301751604289e7,1.7217312847292453e7,2.9623017516042884e7,4,10,0.1,3
14,36140,96,1,3600.044,3600.037,10.034,5.33333333333333,1.46616951886589e7,9.540337979809597e6,1.4661695188658902e7,4,10,0.1,3
15,34299,83,1,3600.173,3600.068,10.264,7.333333333333333,1.7865683877650615e7,1.152643595293655e7,1.7865683877650615e7,4,10,0.1,3
16,37510,107,1,3600.078,3600.046,9.404,5.0,1.5001665085602347e7,1.0132978941341776e7,1.5001665085602349e7,4,10,0.1,3
17,39135,98,1,3600.01,3600.047,8.734,3.5,1.6215869989027027e7,1.0810789688374585e7,1.6215869989027029e7,4,10,0.1,3
18,38129,88,1,3600.024,3600.023,8.8,6.75,2.0990916210985005e7,1.2854220394013312e7,2.099091621098501e7,4,10,0.1,3
19,37277,81,1,3600.117,3600.05,8.882,7.5,2.258286563544868e7,1.3265014900910482e7,2.2582865635448687e7,4,10,0.1,3
2,31385,80,1,3600.046,3600.052,11.516,8.33333333333333,2.6834748583927847e7,1.6723317572206223e7,2.6834748583927847e7,4,10,0.1,3
20,36455,91,1,3600.07,3600.026,9.619,5.25,1.7930342058261074e7,1.1221164969609957e7,1.7930342058261074e7,4,10,0.1,3
21,34968,97,1,3600.162,3600.034,9.835,5.5,1.221281309421989e7,7.902572115340215e6,1.2212813094219891e7,4,10,0.1,3
22,35018,89,1,3600.126,3600.101,12.208,6.333333333333333,1.6721699744981952e7,1.0933668909850357e7,1.6721699744981954e7,4,10,0.1,3
23,35858,91,1,3600.04,3600.051,8.796,4.28571428571428,1.929764679961564e7,1.2204783163999118e7,1.9297646799615644e7,4,10,0.1,3
24,37349,102,1,3600.029,3600.046,8.88,4.0,1.8057440588077635e7,1.1228513341516502e7,1.805744058807764e7,4,10,0.1,3
25,37847,82,1,3600.082,3600.034,9.013,8.333333333333334,2.151791389371128e7,1.390424174446525e7,2.151791389371128e7,4,10,0.1,3
26,38531,85,1,3600.029,3600.027,8.885,5.499999999999999,1.4531438658219e7,9.462407073734574e6,1.4531438658218998e7,4,10,0.1,3
27,38953,87,1,3600.11,3600.028,8.831,10.0,1.9724611256591167e7,1.2297640898632662e7,1.9724611256591167e7,4,10,0.1,3
28,38384,87,1,3600.13,3600.046,8.841,5.0,1.2485243400533406e7,7.86986351505806e6,1.2485243400533406e7,4,10,0.1,3
29,36532,98,1,3600.157,3600.048,8.978,5.000000000000002,1.8705353000077493e7,1.1843562213702181e7,1.870535300007749e7,4,10,0.1,3
3,30215,89,1,3600.135,3600.07,11.947,3.4999999999999987,1.2305929476883754e7,8.241764372196019e6,1.2305929476883752e7,4,10,0.1,3
30,34263,78,1,3600.001,3600.051,8.964,7.0,2.095016966515011e7,1.2570322023670325e7,2.0950169665150113e7,4,10,0.1,3
31,34724,87,1,3600.042,3600.047,9.219,7.2500000000000036,1.6669282557233779e7,1.0377147172974879e7,1.6669282557233777e7,4,10,0.1,3
32,30534,93,1,3600.12,3600.049,18.94,7.5,1.6119985430271104e7,9.75997003872051e6,1.6119985430271104e7,4,10,0.1,3
33,32699,82,1,3600.365,3600.05,11.121,9.833333333333332,1.9543517547950372e7,1.1949271467549788e7,1.9543517547950372e7,4,10,0.1,3
34,30569,102,1,3600.063,3600.042,19.617,5.0,1.6267712622317923e7,1.0151208391958887e7,1.6267712622317923e7,4,10,0.1,3
35,29469,68,1,3600.193,3600.046,19.472,12.399999999999997,2.1830988882965446e7,1.3303386640834311e7,2.1830988882965446e7,4,10,0.1,3
36,36134,92,1,3600.156,3600.027,9.461,5.333333333333333,1.318415277849819e7,8.863423663191788e6,1.3184152778498191e7,4,10,0.1,3
37,38119,111,1,3600.045,3600.035,9.607,5.0,1.514988702942265e7,1.1124417202960907e7,1.5266401285330895e7,4,10,0.1,3
38,39200,80,1,3600.023,3600.033,8.701,8.0,1.6480121008501146e7,1.0728793818830263e7,1.6480121008501142e7,4,10,0.1,3
39,38744,97,1,3600.07,3600.028,8.792,7.6,1.3736888110685756e7,9.594194527206678e6,1.3736888110685756e7,4,10,0.1,3
4,29742,88,1,3600.098,3600.06,12.698,4.0,1.3136868014639717e7,8.2799269619607e6,1.3136868014639717e7,4,10,0.1,3
40,38813,98,1,3600.052,3600.058,7.415,3.2000000004200047,2.2367064108982664e7,1.392295517935436e7,2.2367064108982667e7,4,10,0.1,3
41,38903,93,1,3600.089,3600.031,7.331,8.333333333333336,2.9689487666169893e7,1.8188755478238806e7,2.968948766616989e7,4,10,0.1,3
42,38747,96,1,3600.129,3600.025,7.364,6.333333333333333,2.3335196093525417e7,1.4467915853815854e7,2.333519609352541e7,4,10,0.1,3
43,38533,84,1,3600.043,3600.063,7.412,7.600000000000001,1.6861065872364115e7,1.060456164175565e7,1.686106587236412e7,4,10,0.1,3
44,39309,91,1,3600.019,3600.04,7.435,5.199999999999999,1.8585292695777483e7,1.1060176060409293e7,1.8585292695777483e7,4,10,0.1,3
45,36731,99,1,3600.138,3600.031,7.416,3.0,1.2521228495292515e7,7.774791991718034e6,1.2521228495292513e7,4,10,0.1,3
46,38736,86,1,3600.155,3600.026,7.376,4.500000000550003,1.3894680112571077e7,8.386977218609959e6,1.3894680112571081e7,4,10,0.1,3
47,36067,85,1,3600.013,3600.052,9.123,9.2,2.6095919665028468e7,1.613783143716192e7,2.6095919665028468e7,4,10,0.1,3
48,37283,108,1,3600.115,3600.046,9.146,4.833333333333334,1.312055182911378e7,9.173871493838498e6,1.3333887245770276e7,4,10,0.1,3
49,34608,86,1,3600.122,3600.076,9.692,9.5,2.2962451329577014e7,1.3881651314113434e7,2.296245132957702e7,4,10,0.1,3
5,30551,82,1,3600.165,3600.057,13.185,6.166666666666665,1.933870406469573e7,1.2547454094212975e7,1.9338704064695735e7,4,10,0.1,3
50,37161,97,1,3600.04,3600.053,9.12,5.0,1.444440101083182e7,9.973748241236635e6,1.4444401010831822e7,4,10,0.1,3
6,29062,71,1,3600.014,3600.07,12.16,8.000000000900002,2.142883552717452e7,1.29467569546719e7,2.142883552717452e7,4,10,0.1,3
7,31227,86,1,3600.055,3600.05,12.074,7.666666666666666,1.2071960271388065e7,8.335794951948545e6,1.2071960271388063e7,4,10,0.1,3
8,30747,97,1,3600.006,3600.046,12.028,5.666666666666667,1.4865560583478168e7,9.460110748967119e6,1.486556058347817e7,4,10,0.1,3
9,29685,77,1,3600.202,3600.036,12.677,13.4,2.227839326674437e7,1.2803028056410022e7,2.2278393266744364e7,4,10,0.1,3
10,9,9,1,0.324,2.39,10.996,1.0,1.7521244413036365e7,1.7521244413036365e7,1.752124441303637e7,4,10,0.3,1
11,6,5,1,0.312,2.448,10.679,3.0,1.0536551895544806e6,1.0536551895544806e6,1.0536551895544804e6,4,10,0.3,1
12,6,4,1,0.273,2.189,9.767,6.0,1.2150685083821248e7,1.2150685083821248e7,1.2150685083821252e7,4,10,0.3,1
13,7,6,1,0.254,1.984,8.984,4.0,1.3661156775103537e7,1.3661156775103537e7,1.3661156775103534e7,4,10,0.3,1
14,6,5,1,0.29,2.249,9.805,1.0,1.1029127725478334e7,1.1029127725478334e7,1.1029127725478332e7,4,10,0.3,1
15,8,8,1,0.272,2.11,9.24,1.5555555555555571,1.6120591450773854e7,1.6120591450773854e7,1.6120591450773854e7,4,10,0.3,1
16,8,6,1,0.275,2.116,9.501,4.333333333333329,1.9761127023368686e7,1.9761127023368686e7,1.9761127023368686e7,4,10,0.3,1
17,4,3,1,0.263,2.065,9.448,6.0,1.3915446790480088e6,1.3915446790480088e6,1.3915446790480085e6,4,10,0.3,1
18,7,4,1,0.254,2.006,9.102,2.0,1.1237326671617452e7,1.1237326671617452e7,1.1237326671617454e7,4,10,0.3,1
19,3,2,1,0.24,2.025,9.152,25.0,6.433397708512965e6,6.433397708512965e6,6.433397708512966e6,4,10,0.3,1
1,6,4,1,0.276,2.274,9.899,1.0,7.531383763928608e6,7.531383763928608e6,7.531383763928608e6,4,10,0.3,1
20,8,7,1,0.333,2.58,12.136,5.0,1.0132674400174737e7,1.0132674400174737e7,1.0132674400174737e7,4,10,0.3,1
21,5,4,1,0.274,2.155,9.774,15.0,1.2558272247847315e7,1.2558272247847315e7,1.2558272247847315e7,4,10,0.3,1
22,5,4,1,0.244,1.985,8.954,1.0,2.2425607984763137e6,2.2425607984763137e6,2.242560798476314e6,4,10,0.3,1
23,8,7,1,0.303,2.299,9.99,1.1428571428571388,1.3748288426559597e7,1.3748288426559597e7,1.3748288426559601e7,4,10,0.3,1
24,4,5,1,0.29,2.297,10.01,4.0,1.647425783422831e7,1.647425783422831e7,1.647425783422831e7,4,10,0.3,1
25,7,5,1,0.266,2.144,9.541,1.0,1.61671175304836e7,1.61671175304836e7,1.6167117530483602e7,4,10,0.3,1
26,7,6,1,0.26,2.022,9.173,2.0,1.4277664504477173e7,1.4277664504477173e7,1.4277664504477173e7,4,10,0.3,1
27,6,5,1,0.242,1.997,8.973,0.5,1.5860939912854102e7,1.5860939912854102e7,1.5860939912854098e7,4,10,0.3,1
28,4,3,1,0.245,2.066,9.207,7.000000000800014,6.3082540052033225e6,6.308254005203323e6,6.3082540052033225e6,4,10,0.3,1
29,9,8,1,0.272,2.103,9.204,2.4285714285714306,2.882507771183189e7,2.882507771183189e7,2.8825077711831883e7,4,10,0.3,1
2,7,4,1,0.257,2.074,9.229,2.0,1.1237326671617452e7,1.1237326671617452e7,1.1237326671617454e7,4,10,0.3,1
30,6,5,1,0.264,2.152,9.522,3.0,1.2701093919528965e7,1.2701093919528965e7,1.2701093919528967e7,4,10,0.3,1
31,8,6,1,0.267,2.075,9.41,1.0,1.3416987983328864e7,1.3416987983328864e7,1.3416987983328864e7,4,10,0.3,1
32,9,8,1,0.306,2.35,10.41,3.6666666666666643,1.4038511386836465e7,1.4038511386836465e7,1.4038511386836465e7,4,10,0.3,1
33,8,4,1,0.282,2.3,10.114,1.0,5.777850594124049e6,5.777850594124049e6,5.777850594124049e6,4,10,0.3,1
34,9,7,1,0.289,2.247,9.955,3.0,2.415264607287557e7,2.415264607287557e7,2.4152646072875574e7,4,10,0.3,1
35,7,6,1,0.284,2.185,9.843,1.0,9.492059394657537e6,9.492059394657537e6,9.492059394657535e6,4,10,0.3,1
36,5,4,1,0.289,2.364,10.474,1.0,3.461509081230009e6,3.461509081230009e6,3.461509081230009e6,4,10,0.3,1
37,6,5,1,0.267,2.126,10.357,2.0,1.1410033689255724e7,1.1410033689255724e7,1.141003368925572e7,4,10,0.3,1
38,5,4,1,0.295,2.418,10.232,14.0,1.1330163304495908e7,1.1330163304495908e7,1.1330163304495908e7,4,10,0.3,1
39,7,6,1,0.292,2.398,10.45,1.0000000002000036,1.1694462028270382e7,1.1694462028270382e7,1.1694462028270382e7,4,10,0.3,1
3,7,6,1,0.263,2.084,9.258,2.0,2.0395574542988375e7,2.0395574542988375e7,2.039557454298837e7,4,10,0.3,1
40,7,6,1,0.302,2.2,9.853,3.8333333333333286,1.5069195405918878e7,1.5069195405918878e7,1.5069195405918878e7,4,10,0.3,1
41,4,2,1,0.33,2.805,12.668,31.0,6.101119985711252e6,6.101119985711252e6,6.101119985711251e6,4,10,0.3,1
42,4,3,1,0.294,2.418,10.351,2.0,210062.67555445136,210062.67555445133,210062.67555445113,4,10,0.3,1
43,7,6,1,0.261,2.07,9.268,1.0,1.5189656634888463e7,1.5189656634888463e7,1.518965663488846e7,4,10,0.3,1
44,4,3,1,0.236,1.947,8.841,3.0,8.638479046312142e6,8.638479046312142e6,8.63847904631214e6,4,10,0.3,1
45,8,7,1,0.314,2.322,10.354,2.0,1.9770023352461014e7,1.9770023352461014e7,1.9770023352461014e7,4,10,0.3,1
46,9,7,1,0.295,2.336,9.945,4.571428571428569,2.0082361344249733e7,2.0082361344249733e7,2.0082361344249737e7,4,10,0.3,1
47,6,3,1,0.265,2.144,9.534,7.0,5.0045095455366075e6,5.004509545536607e6,5.0045095455366075e6,4,10,0.3,1
48,9,7,1,0.282,2.08,9.457,7.0,3.2937470784069933e7,3.2937470784069933e7,3.293747078406993e7,4,10,0.3,1
49,9,8,1,0.258,1.983,9.259,3.0,2.1872721338061206e7,2.1872721338061206e7,2.1872721338061206e7,4,10,0.3,1
4,5,4,1,0.264,2.177,9.662,1.0,8.202373489974412e6,8.202373489974412e6,8.202373489974409e6,4,10,0.3,1
50,9,8,1,0.262,1.946,9.107,0.3333333333333286,2.2853466725793995e7,2.2853466725793995e7,2.2853466725793995e7,4,10,0.3,1
