instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb
10,15370,71,1,150.486,26.828,8.92,0.125,1.5550683842839034e7,1.5550683842839036e7,1.752124441303637e7
11,32,9,1,0.603,3.826,13.892,4.0,1.0536551895544804e6,1.0536551895544804e6,1.0536551895544804e6
12,816,30,1,6.19,4.798,10.375,0.20000000000000284,1.1283076883639455e7,1.1283076883639453e7,1.2150685083821252e7
13,324169,51,1,3600.001,9.448,8.723,0.1250000000000373,1.301072307942031e7,1.301071692392589e7,1.3661156775103534e7
14,4244,55,1,59.558,15.218,11.446,1.9998019991085397e-6,1.0277210176806938e7,1.0277210176806882e7,1.1029127725478332e7
15,97691,91,1,3600.004,47.824,9.662,2.3999424036413863e-6,1.4319195047979621e7,1.4129574374001283e7,1.6120591450773854e7
16,54045,83,1,1182.511,54.105,9.577,0.5,1.7341690761279218e7,1.7341690568069205e7,1.9761127023368686e7
17,18,11,1,0.354,2.715,10.092,1.0,1.3915446790480085e6,1.3915446790480088e6,1.3915446790480085e6
18,2594,37,1,19.38,6.565,10.914,0.42857142857143227,1.0633362158581803e7,1.06333621585818e7,1.1237326671617454e7
19,100,22,1,0.98,3.872,10.285,2.0,6.199534500632802e6,6.199534500632803e6,6.433397708512966e6
1,644,32,1,4.485,5.641,8.978,0.3999999999999968,6.886000157071415e6,6.886000157071415e6,7.531383763928608e6
20,3426,41,1,32.554,8.473,13.39,0.5,9.088254452546358e6,9.088254452546358e6,1.0132674400174737e7
21,1228,36,1,10.024,6.994,11.536,0.4285714287142879,1.1669263811441898e7,1.1669263811441898e7,1.2558272247847315e7
22,42,11,1,0.447,2.336,8.81,1.0,2.2425607984763137e6,2.242560798476314e6,2.242560798476314e6
23,16614,56,1,188.788,13.229,10.336,0.6666666666666679,1.1980985396516364e7,1.1980985396516366e7,1.3748288426559601e7
24,3208,37,1,25.925,6.272,9.616,0.4285714285714235,1.3747308989823634e7,1.3747308989823598e7,1.647425783422831e7
25,3014,43,1,23.743,7.875,9.468,0.33333333333333215,1.3982758874447184e7,1.3982756367304994e7,1.6167117530483602e7
26,3166,47,1,21.862,7.986,9.685,0.22222222222221943,1.346206211876197e7,1.3461984129567187e7,1.4277664504477173e7
27,8110,41,1,65.388,5.964,9.338,0.1666666666666643,1.3142678081734508e7,1.314267808173451e7,1.5860939912854098e7
28,326,18,1,2.749,3.313,8.968,0.44444444444444464,5.865731154975848e6,5.86573115497585e6,6.3082540052033225e6
29,48825,129,1,3600.01,179.684,9.222,0.3333333333333357,2.7885977555602077e7,2.3270345014340576e7,2.8825077711831883e7
2,2594,37,1,15.628,5.929,8.771,0.42857142857143227,1.0633362158581803e7,1.06333621585818e7,1.1237326671617454e7
30,1635,28,1,10.203,3.826,9.007,0.12500000011249313,1.1172518221991641e7,1.1172518221991641e7,1.2701093919528967e7
31,9258,49,1,75.409,8.848,9.241,0.25,1.132084961343218e7,1.132084961343218e7,1.3416987983328864e7
32,22836,76,1,238.713,23.374,8.87,0.12499914232036602,1.2297681475427615e7,1.2297681475427609e7,1.4038511386836465e7
33,84,14,1,0.719,2.776,9.892,1.0,5.777850594124048e6,5.777850594124048e6,5.777850594124049e6
34,104046,91,1,2346.691,49.682,9.557,0.3333333333333357,2.0163565951633643e7,2.0163565942890815e7,2.4152646072875574e7
35,4892,40,1,39.211,8.202,11.415,0.4285714285714301,8.62942517237789e6,8.62942517237789e6,9.492059394657535e6
36,22,9,1,0.33,2.317,9.233,1.0,3.461509081230009e6,3.461509081230009e6,3.461509081230009e6
37,2172,29,1,47.072,9.505,9.97,0.10000000000000142,9.627872080422223e6,9.627872080422224e6,1.141003368925572e7
38,516,27,1,3.381,4.598,9.584,0.8333333333333286,1.1078433290393498e7,1.1078433290393498e7,1.1330163304495908e7
39,2296,30,1,15.22,4.299,9.194,0.25000000000000033,9.781117185311712e6,9.781117185311712e6,1.1694462028270382e7
3,10758,39,1,121.954,8.875,12.127,0.375,1.6632829830602389e7,1.663282983060239e7,2.039557454298837e7
40,59050,80,1,960.15,25.463,9.425,0.16666666666666452,1.3699883169794478e7,1.3699883152037544e7,1.5069195405918878e7
41,271,19,1,2.738,3.255,9.009,1.4999999999999991,5.389870381141942e6,5.389870381141942e6,6.101119985711251e6
43,25858,88,1,298.116,29.937,9.951,0.2857170713349291,1.364527954551096e7,1.3645271471527448e7,1.518965663488846e7
44,414,24,1,2.741,3.337,9.641,0.28571428571428575,8.115034334609458e6,8.115034334609458e6,8.63847904631214e6
45,63480,75,1,981.586,32.002,9.298,0.5,1.698014624218125e7,1.698014624218125e7,1.9770023352461014e7
