instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb
10,101637,69,1,3600.019,35.631,9.785,1.7999999999999972,1.3709451213946242e7,1.3709451104205217e7,1.4477943243833344e7
11,47399,121,1,3600.061,234.406,9.485,1.9841022158573196e-6,2.630318219904987e7,2.3056350730750006e7,2.738548559130811e7
12,37482,65,1,818.318,20.285,9.671,0.2142857142857153,2.5016747674154464e7,2.501674767415446e7,2.7974154201071758e7
13,156168,59,1,3600.004,17.143,11.683,1.1111111111111087,1.7224375058963675e7,1.7112672043858208e7,1.8230847115207665e7
14,56104,195,1,3600.079,704.418,12.311,0.3846152515229022,2.7049800509581175e7,2.6165026517361537e7,2.8945220755180184e7
15,43817,89,1,3600.068,150.743,9.045,0.09090909090909349,2.90297217897041e7,2.4913657936866257e7,2.9266632757290013e7
16,2826,33,1,40.293,9.908,11.896,0.7333333333333343,1.1786015199507812e7,1.1786014186542695e7,1.2210600031979885e7
17,19636,66,1,276.437,19.334,10.204,0.3076923076923066,1.8178988969464056e7,1.8178988969463926e7,1.8395344065670405e7
18,89668,52,1,3600.002,17.72,11.529,4.499779502680395e-6,2.5529067048198786e7,2.552906704819867e7,2.8187512054632135e7
19,87537,44,1,3600.025,16.21,8.853,1.6666350017846554e-6,1.6829246428275097e7,1.682924642827497e7,1.810571910123508e7
1,1934,30,1,14.189,5.753,9.023,1.0,9.234499040999705e6,9.234499040999705e6,9.234499040999707e6
20,3236,49,1,31.936,11.275,8.996,0.2142847956905527,1.8067874300920628e7,1.8067874300920628e7,1.8186722944160677e7
22,764,25,1,7.304,4.681,9.406,1.0,7.9721415192790935e6,7.972141519279095e6,7.972141519279095e6
23,3240,32,1,48.535,9.579,13.742,1.0,1.4398062373052187e7,1.439806237305219e7,1.5304821958781965e7
24,39344,85,1,1122.012,50.077,12.261,1.0,1.9623152570583746e7,1.9623152457490105e7,2.0260176902929064e7
25,416,20,1,3.462,3.963,9.511,0.9166666666666643,8.87532151716363e6,8.875321517163632e6,8.875321517163634e6
26,72514,98,1,1822.36,76.789,9.393,0.777777777777772,2.276676536953742e7,2.2766765248150527e7,2.4729015353611823e7
27,53249,100,1,3600.075,137.501,11.898,0.18181818181817988,2.2714648894458167e7,2.1942837352261275e7,2.4148013118931487e7
28,4953,56,1,63.505,18.391,10.276,0.4166666666666572,1.756854824696607e7,1.7568548123661917e7,1.8326783039098423e7
29,93400,81,1,3063.799,81.002,9.388,0.3999999999999986,1.7348257029016323e7,1.7348257029016327e7,1.9492209565335654e7
2,2474,36,1,27.23,9.14,12.803,0.3333333333333357,1.3888737695152847e7,1.388873769515285e7,1.4227432247810552e7
30,242,27,1,2.708,5.976,13.067,0.6923076923076934,9.097042781049581e6,9.097042781049583e6,9.097042781049587e6
