instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,θ_bb,θ_box,θ_pb
10,25505,64,1,3600.149,3600.03,11.093,3.152939356083325e7,1.9880390620121304e7,3.1529393560833253e7
11,s,63,1,i,3600.031,10.272,a,2.3097135912086584e7,3.43069168442236e7
12,s,54,1,i,3600.032,9.722,a,2.3803817525138423e7,4.255744399749081e7
13,26520,59,1,3600.098,3600.064,10.243,3.013599425350395e7,2.1029202030573055e7,3.0132975358277902e7
14,s,64,1,i,3600.054,9.434,a,2.0939275774035275e7,3.2147285966865826e7
15,s,65,1,i,3600.039,14.346,a,2.1122845791908536e7,3.6039196450050615e7
16,23832,58,1,3600.002,3600.04,19.47,2.6343257451726146e7,1.9518901543047637e7,2.6343257451726142e7
17,s,60,1,i,3600.053,16.608,a,2.31483073577266e7,3.699211939051355e7
18,s,55,1,i,3600.086,11.392,a,1.9146748447218757e7,3.388169571975981e7
19,26697,83,1,3600.172,3600.079,9.072,3.0558307081048287e7,2.173365480426265e7,3.055830708104828e7
1,s,58,1,i,3600.037,10.92,a,2.1373747695927102e7,3.802154965672184e7
20,s,66,1,i,3600.057,11.728,a,2.1751095144272104e7,3.443816908555472e7
21,s,68,1,i,3600.042,9.967,a,2.452561274703147e7,4.116295929027569e7
22,s,67,1,i,3600.054,9.352,a,1.5351585446219472e7,2.2853837401475627e7
23,s,64,1,i,3600.048,9.847,a,2.3025728470236752e7,3.5714939207072705e7
24,s,55,1,i,3600.053,10.737,a,1.931879175834012e7,3.422068018489677e7
25,24061,68,1,3600.078,3600.05,13.374,2.3479168885365956e7,1.634782833331431e7,2.347916888536596e7
26,s,66,1,i,3600.052,8.879,a,1.7746428420896575e7,2.6832192565810695e7
27,s,51,1,i,3600.043,10.667,a,2.452260166524026e7,4.102686730507045e7
28,s,64,1,i,3600.039,10.337,a,2.926755052796407e7,5.011559867446363e7
29,27801,70,1,3600.243,3600.037,9.488,2.702138608933597e7,1.9489675373518985e7,2.7021386089335974e7
2,s,70,1,i,3600.033,9.456,a,1.76738341938787e7,2.6510354318149246e7
30,25227,76,1,3600.001,3600.059,9.538,2.4218487501647465e7,2.0202494801092945e7,3.0181426469540834e7
31,s,56,1,i,3600.048,9.738,a,2.334669362846899e7,3.9676677903174594e7
32,19921,54,1,3600.005,3600.035,9.57,2.1352374173369862e7,1.8954169175983027e7,3.1242250824206837e7
33,s,63,1,i,3600.028,10.275,a,2.02582364632533e7,3.0724301776407897e7
34,s,60,1,i,3600.041,9.868,a,2.031573018458775e7,3.1299513303699996e7
35,s,58,1,i,3600.036,10.279,a,2.7493145975741945e7,4.8237063959891394e7
36,26869,67,1,3600.077,3600.047,10.041,2.6257670327304006e7,1.7933455371902432e7,2.6257670327304006e7
37,25290,78,1,3600.063,3600.067,10.052,2.4462804496373005e7,1.8602416640351795e7,2.4462804496373005e7
38,s,64,1,i,3600.045,9.169,a,2.2155832410027336e7,3.449035022841368e7
39,28415,80,1,3600.077,3600.048,9.109,1.972177369838127e7,1.5495845015975252e7,1.9721773698381275e7
3,s,62,1,i,3600.036,9.394,a,2.2205114147514187e7,3.875913035571566e7
40,s,63,1,i,3600.04,9.453,a,2.2452364812420737e7,3.7029738931704625e7
41,s,65,1,i,3600.031,8.678,a,1.9067084619554423e7,3.0208128369439404e7
42,29545,79,1,3600.198,3600.037,9.116,2.1435871801913213e7,1.7943745041249514e7,2.143587180191321e7
43,s,63,1,i,3600.03,8.743,a,2.548029519538041e7,4.289262235331333e7
44,s,58,1,i,3600.033,11.959,a,2.892214108142574e7,5.534366370959462e7
45,s,64,1,i,3600.049,11.75,a,1.835825138317351e7,2.839344410421381e7
46,s,63,1,i,3600.053,12.107,a,2.0267015836949345e7,3.335508232309548e7
47,s,63,1,i,3600.038,8.947,a,2.5444520901551694e7,4.52074029372181e7
48,28495,74,1,3600.173,3600.063,8.948,2.4237056379126523e7,1.6341725199042272e7,2.4237056379126523e7
49,s,58,1,i,3600.052,8.909,a,1.724499255064012e7,2.8191903546696153e7
4,s,63,1,i,3600.065,11.13,a,2.202586042806072e7,2.848289548488076e7
50,s,57,1,i,3600.051,9.195,a,2.0942882055423524e7,3.2387721899424113e7
5,s,58,1,i,3600.029,9.762,a,1.6701488535494758e7,2.4745898361904055e7
6,s,65,1,i,3600.037,7.871,a,2.136352307771939e7,3.2515053913435765e7
7,s,57,1,i,3600.079,15.182,a,2.301026488918558e7,4.0906641704874374e7
8,s,62,1,i,3600.057,8.897,a,2.418449655379897e7,4.044042896537971e7
9,s,56,1,i,3600.05,10.557,a,2.793232683819372e7,4.725021439767641e7
