instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,θ_bb,θ_box,θ_pb
10,11,10,1,0.294,2.07,9.321,2.3286741316262413e7,2.3286741316262413e7,2.3286741316262413e7
11,9,8,1,0.381,2.214,9.535,1.5870275997912716e7,1.5870275997912716e7,1.5870275997912716e7
12,8,8,1,0.313,2.128,9.736,1.9681988076863516e7,1.9681988076863516e7,1.9681988076863516e7
13,10,9,1,0.298,1.981,8.777,2.4666194985802677e7,2.4666194985802677e7,2.4666194985802673e7
14,10,9,1,0.305,2.04,9.069,2.11645884073328e7,2.11645884073328e7,2.1164588407332797e7
15,10,9,1,0.429,2.358,9.85,2.134936774713909e7,2.134936774713909e7,2.134936774713909e7
16,11,10,1,0.355,2.195,9.717,2.2022823619037822e7,2.2022823619037822e7,2.202282361903782e7
17,9,8,1,0.419,2.557,10.911,1.9372216846974783e7,1.9372216846974783e7,1.9372216846974783e7
18,10,9,1,0.308,2.025,9.311,2.0954772215146437e7,2.0954772215146437e7,2.095477221514644e7
19,10,9,1,0.378,2.043,9.582,1.741353864721584e7,1.741353864721584e7,1.7413538647215843e7
1,7,7,1,0.382,2.184,9.489,2.02628260473599e7,2.02628260473599e7,2.0262826047359906e7
20,10,9,1,0.284,2.038,9.374,2.1227935307043895e7,2.1227935307043895e7,2.1227935307043895e7
21,11,10,1,0.348,2.229,9.824,2.7358676144571036e7,2.7358676144571036e7,2.7358676144571036e7
22,9,9,1,0.329,2.204,9.85,1.657057633025472e7,1.657057633025472e7,1.6570576330254719e7
23,10,9,1,0.323,2.103,10.273,1.810189724257906e7,1.810189724257906e7,1.810189724257906e7
24,8,7,1,0.333,2.156,9.514,1.5657292358062224e7,1.5657292358062224e7,1.5657292358062226e7
25,8,7,1,0.301,1.966,8.955,1.3993792541624034e7,1.3993792541624034e7,1.3993792541624032e7
26,11,10,1,0.357,2.199,9.86,2.122677426484674e7,2.122677426484674e7,2.1226774264846735e7
27,11,10,1,0.309,1.953,8.774,2.1335751931783985e7,2.1335751931783985e7,2.133575193178399e7
28,11,10,1,0.305,2.019,9.295,1.9986732980411146e7,1.9986732980411146e7,1.998673298041115e7
29,9,8,1,0.36,2.02,9.989,1.8649274432141677e7,1.8649274432141677e7,1.8649274432141677e7
2,10,9,1,0.386,2.516,10.917,1.5152066702086143e7,1.5152066702086143e7,1.5152066702086143e7
30,11,10,1,0.315,2.155,9.514,1.9968585281847328e7,1.9968585281847328e7,1.9968585281847328e7
31,11,10,1,0.315,2.027,9.14,1.3491731265130566e7,1.3491731265130566e7,1.3491731265130566e7
32,10,9,1,0.31,2.015,9.021,1.679136538197044e7,1.679136538197044e7,1.6791365381970443e7
33,11,10,1,0.336,2.215,9.754,1.8758754034785554e7,1.8758754034785554e7,1.8758754034785554e7
34,9,8,1,0.338,2.249,9.987,1.484452023522201e7,1.484452023522201e7,1.4844520235222012e7
35,11,10,1,0.487,2.515,10.279,2.894819641671272e7,2.894819641671272e7,2.894819641671272e7
36,10,9,1,0.314,2.06,9.454,2.1484647821136218e7,2.1484647821136218e7,2.1484647821136214e7
37,9,9,1,0.33,2.181,9.855,2.153491770650269e7,2.153491770650269e7,2.1534917706502695e7
38,9,8,1,0.331,2.17,9.837,1.9341089907167528e7,1.9341089907167528e7,1.934108990716753e7
39,8,7,1,0.331,2.18,10.225,1.320329140154901e7,1.320329140154901e7,1.320329140154901e7
3,9,8,1,0.298,1.958,8.818,1.4327406806882747e7,1.4327406806882747e7,1.432740680688275e7
40,11,10,1,0.31,2.03,9.482,1.808635961296585e7,1.808635961296585e7,1.8086359612965845e7
41,11,9,1,0.295,2.168,9.303,1.6547143656877717e7,1.6547143656877717e7,1.6547143656877715e7
42,9,7,1,0.351,1.959,10.218,1.2809960117232518e7,1.2809960117232518e7,1.2809960117232518e7
43,8,7,1,0.37,2.592,11.933,1.1499793802055247e7,1.1499793802055247e7,1.1499793802055247e7
44,9,8,1,0.302,2.03,9.807,1.4942312036287805e7,1.4942312036287805e7,1.4942312036287801e7
45,10,8,1,0.306,2.036,9.351,1.792739336278078e7,1.792739336278078e7,1.7927393362780776e7
46,10,9,1,0.329,2.165,9.773,1.2929982125115193e7,1.2929982125115193e7,1.292998212511519e7
47,11,10,1,0.344,2.195,9.812,2.25996195855954e7,2.25996195855954e7,2.2599619585595403e7
48,10,9,1,0.423,2.343,9.896,2.0346584062492393e7,2.0346584062492393e7,2.0346584062492397e7
49,11,10,1,0.341,2.165,9.601,2.2312748526964445e7,2.2312748526964445e7,2.231274852696445e7
4,9,8,1,0.324,2.146,9.807,2.278917246192929e7,2.278917246192929e7,2.2789172461929295e7
50,10,9,1,0.505,3.072,14.289,2.3938986840799212e7,2.3938986840799212e7,2.3938986840799216e7
5,11,10,1,0.323,2.027,8.986,2.108138566946154e7,2.108138566946154e7,2.108138566946154e7
6,11,10,1,0.315,2.024,8.945,2.488334331855577e7,2.488334331855577e7,2.4883343318555765e7
7,9,8,1,0.341,2.194,9.975,2.250189160741965e7,2.250189160741965e7,2.250189160741965e7
8,9,8,1,0.348,2.201,10.001,1.6921059088727824e7,1.6921059088727824e7,1.6921059088727828e7
9,10,8,1,0.327,2.149,9.779,1.5350711659527801e7,1.5350711659527801e7,1.53507116595278e7
