instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb
10,8,5,1,0.296,2.262,10.095,0.0,2.1978261300448082e7,2.1978261300448082e7,2.197826130044808e7
11,6,5,1,0.254,2.001,9.49,0.0,1.514612588008258e7,1.514612588008258e7,1.514612588008258e7
12,8,8,1,0.316,2.322,10.168,0.0,2.5251296830347475e7,2.5251296830347475e7,2.525129683034748e7
13,6,4,1,0.305,2.214,9.75,0.0,1.4782104101156984e7,1.4782104101156984e7,1.4782104101156984e7
14,5,4,1,0.248,2.056,9.258,0.0,7.676004987933196e6,7.676004987933196e6,7.676004987933197e6
15,9,8,1,0.306,2.084,9.331,0.0,2.6518381332137614e7,2.6518381332137614e7,2.6518381332137614e7
16,8,8,1,0.261,1.987,8.832,0.0,3.014108028198072e7,3.014108028198072e7,3.0141080281980716e7
17,5,3,1,0.237,1.955,8.863,0.0,1.739475284623336e6,1.739475284623336e6,1.739475284623336e6
18,5,3,1,0.259,2.113,9.574,0.0,8.758854288710767e6,8.758854288710767e6,8.758854288710766e6
19,5,5,1,0.259,2.115,9.391,0.0,1.2428293143451858e7,1.2428293143451858e7,1.2428293143451858e7
1,6,5,1,0.337,2.598,11.499,0.0,2.5430095141768746e7,2.5430095141768746e7,2.5430095141768754e7
20,7,6,1,0.249,1.98,9.021,0.0,8.1987209471832095e6,8.1987209471832095e6,8.198720947183211e6
21,6,5,1,0.241,1.982,8.886,0.0,1.4696874924518913e7,1.4696874924518913e7,1.4696874924518917e7
22,9,8,1,0.272,2.004,8.971,0.0,2.308052551240907e7,2.308052551240907e7,2.308052551240907e7
23,10,8,1,0.343,2.468,10.831,0.0,2.9208592434572116e7,2.9208592434572116e7,2.9208592434572116e7
24,6,6,1,0.323,2.602,11.711,0.0,1.5054035544615919e7,1.5054035544615919e7,1.5054035544615922e7
25,7,5,1,0.35,2.678,12.234,0.0,1.044565185169942e7,1.044565185169942e7,1.044565185169942e7
26,8,7,1,0.347,2.657,11.873,0.0,2.5404450738764644e7,2.5404450738764644e7,2.5404450738764644e7
27,4,3,1,0.319,2.707,12.639,0.0,6.254466887738635e6,6.254466887738635e6,6.254466887738636e6
28,7,6,1,0.269,2.039,9.424,0.0,8.1987209471832095e6,8.1987209471832095e6,8.198720947183211e6
29,5,5,1,0.251,1.992,9.191,0.0,1.0609941780755995e7,1.0609941780755995e7,1.0609941780755993e7
2,9,8,1,0.354,2.716,11.934,0.0,3.475013605929239e7,3.475013605929239e7,3.475013605929239e7
