instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb
10,98941,53,1,3600.004,33.13,14.656,1.0797229163162539e-6,1.8292803972384326e7,1.8174827746437363e7,1.923681913453678e7
11,6031,40,1,149.459,17.641,14.615,0.10526315789475182,1.937651699531829e7,1.9376516995318297e7,2.000962441116493e7
12,75463,119,1,3600.022,140.682,8.961,0.40000000000000213,3.551503089434959e7,3.5235395257550515e7,3.819361406932064e7
13,482,21,1,8.071,6.861,11.65,2.0,9.205423769717235e6,9.20542376971724e6,9.205423769717239e6
14,57208,73,1,1651.982,39.819,9.713,0.2142857142857153,2.4198611776329163e7,2.419861177632917e7,2.592687424004243e7
15,872,23,1,10.107,4.218,8.425,1.0,1.0461057645312283e7,1.0461057645312287e7,1.0461057645312289e7
16,17048,42,1,274.383,9.099,8.341,1.0,1.1546135180329314e7,1.154613518032932e7,1.154613518032932e7
17,30,13,1,0.544,3.162,9.124,1.0,2.4878980918229343e6,2.4878980918230903e6,2.4878980918230903e6
18,74877,67,1,3600.002,34.39,12.358,1.0,1.4983842791215865e7,1.4983842791215163e7,1.4983842791215867e7
19,50604,120,1,3600.047,103.963,9.428,0.12500000000000122,2.441919270995076e7,2.4293984882719394e7,2.4794816191644862e7
1,4394,37,1,57.505,9.436,8.922,0.22222222222222143,1.4881686682692826e7,1.4881686682692826e7,1.512162834226865e7
20,34524,56,1,764.263,18.629,9.981,2.0,2.0229636410773214e7,2.0229636410773214e7,2.0488904611677222e7
21,16770,54,1,297.195,14.637,9.905,1.0,1.6664305036788182e7,1.6664305036788184e7,1.6664305036788184e7
22,2,1,1,0.243,1.996,9.254,0.0,1998.9382156507927,1998.9382156507843,1998.938215650793
23,36468,69,1,756.387,23.569,9.187,0.529411764705884,1.7967692887095347e7,1.7967692887095354e7,1.8097867524064455e7
24,2,1,1,0.242,2.01,9.209,0.0,4090.7817979268393,4090.7817979268398,4090.7817979268398
25,74903,92,1,3600.103,143.976,9.571,0.29411764705882604,3.2620088110265613e7,3.236521536982164e7,3.47858277608064e7
26,79346,64,1,3016.799,33.722,11.367,0.9999992537626383,2.123622924522421e7,2.1236229245224215e7,2.1617654205078714e7
27,63516,100,1,3600.047,160.238,9.235,0.5,2.7136398797415327e7,2.6338426464643434e7,2.859944015021435e7
28,40181,98,1,3600.133,100.624,9.36,4.025957508702049e-6,3.0362555616537794e7,2.937922027899898e7,3.0608392961137842e7
