instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,θ_bb,θ_box,θ_pb
10,38031,83,1,3600.152,3600.046:1.0:3599.046 => 0.0,8.899,1.756741265914151e7,1.1019257591182958e7,1.756741265914151e7
11,37989,86,1,3600.138,3600.053:1.0:3599.053 => 0.0,8.793,1.6533743785511628e7,1.0946687977171822e7,1.6533743785511628e7
12,29703,84,1,3600.108,3600.062:1.0:3599.062 => 0.0,12.509,1.6025932037764832e7,9.36477204109869e6,1.6025932037764836e7
13,33739,75,1,3600.027,3600.037:1.0:3599.037 => 0.0,9.804,2.962301751604289e7,1.7343895636444822e7,2.9623017516042884e7
14,33075,92,1,3600.157,3600.034:1.0:3599.034 => 0.0,9.715,1.46616951886589e7,9.439948347757176e6,1.4661695188658902e7
15,33658,85,1,3600.068,3600.073:1.0:3599.073 => 0.0,10.166,1.7865683877650615e7,1.152641291919778e7,1.7865683877650615e7
16,34758,106,1,3600.076,3600.034:1.0:3599.034 => 0.0,9.469,1.5001665085602347e7,1.0264449260323538e7,1.5001665085602349e7
17,34321,94,1,3600.048,3600.051:1.0:3599.051 => 0.0,9.466,1.6215869989027027e7,1.0810759618758088e7,1.6215869989027029e7
18,33302,80,1,3600.093,3600.051:1.0:3599.051 => 0.0,10.963,2.0990916210985005e7,1.2736294373448916e7,2.099091621098501e7
19,38134,81,1,3600.036,3600.043:1.0:3599.043 => 0.0,8.782,2.258286563544868e7,1.3265016650612805e7,2.2582865635448687e7
1,32411,99,1,3600.002,3600.05:1.0:3599.05 => 0.0,8.955,1.9806027850977555e7,1.2686894558287507e7,1.9806027850977555e7
20,33468,91,1,3600.049,3600.042:1.0:3599.042 => 0.0,9.59,1.7930342058261074e7,1.1105441985732539e7,1.7930342058261074e7
21,39200,102,1,3600.019,3600.035:1.0:3599.035 => 0.0,8.947,1.221281309421989e7,8.005181921907297e6,1.2212813094219891e7
22,35306,90,1,3600.035,3600.032:1.0:3599.032 => 0.0,8.94,1.6721699744981952e7,1.0933668909850396e7,1.6721699744981954e7
23,36573,91,1,3600.161,3600.055:1.0:3599.055 => 0.0,9.591,1.929764679961564e7,1.2204783163999118e7,1.9297646799615644e7
