instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb
10,32905,80,1,3600.105,3600.034,12.44,0.0,1.756741265914151e7,1.091487794299597e7,1.756741265914151e7
11,37989,86,1,3600.138,3600.053:1.0:3599.053 => 0.0,8.793,1.6533743785511628e7,1.0946687977171822e7,1.6533743785511628e7
12,29828,87,1,3600.09,3600.063,11.454,0.0,1.6025932037764832e7,9.46122342399798e6,1.6025932037764836e7
13,30736,76,1,3600.221,3600.096,11.624,0.0,2.962301751604289e7,1.7343843078326173e7,2.9623017516042884e7
14,33075,92,1,3600.157,3600.034:1.0:3599.034 => 0.0,9.715,1.46616951886589e7,9.439948347757176e6,1.4661695188658902e7
15,32125,82,1,3600.194,3600.054,12.343,0.0,1.7865683877650615e7,1.1526392529766906e7,1.7865683877650615e7
16,30591,97,1,3600.172,3600.046,11.531,0.0,1.5001665085602347e7,1.0132824977321938e7,1.5001665085602349e7
17,32231,87,1,3600.036,3600.08,12.528,0.0,1.6215869989027027e7,1.0700517412020195e7,1.6215869989027029e7
18,30629,87,1,3600.005,3600.043,11.622,0.0,2.0990916210985005e7,1.2854199351182804e7,2.099091621098501e7
19,31787,77,1,3600.163,3600.049,12.889,0.0,2.258286563544868e7,1.3155388329234231e7,2.2582865635448687e7
1,31636,97,1,3600.094,3600.035,11.698,0.0,1.9806027850977555e7,1.2686343926576976e7,1.9806027850977555e7
20,32254,88,1,3600.154,3600.061,12.131,0.0,1.7930342058261074e7,1.1105502265045049e7,1.7930342058261074e7
21,31960,96,1,3600.131,3600.043,11.87,0.0,1.221281309421989e7,7.902551207937139e6,1.2212813094219891e7
22,31354,86,1,3600.185,3600.055,11.936,0.0,1.6721699744981952e7,1.0826615792702358e7,1.6721699744981954e7
23,36573,91,1,3600.161,3600.055:1.0:3599.055 => 0.0,9.591,1.929764679961564e7,1.2204783163999118e7,1.9297646799615644e7
24,30787,97,1,3600.046,3600.058,12.905,0.0,1.8057440588077635e7,1.1228519415425198e7,1.805744058807764e7
25,31055,81,1,3600.029,3600.065,11.669,0.0,2.151791389371128e7,1.3793814551529024e7,2.151791389371128e7
26,31231,85,1,3600.038,3600.033,11.71,0.0,1.4531438658219e7,9.462407073734574e6,1.4531438658218998e7
27,29870,85,1,3600.082,3600.063,14.238,0.0,1.9724611256591167e7,1.2175940515532563e7,1.9724611256591167e7
28,30455,85,1,3600.184,3600.062,12.696,0.0,1.2485243400533406e7,7.794263430270485e6,1.2485243400533406e7
29,32353,94,1,3600.013,3600.056,11.908,0.0,1.8705353000077493e7,1.1843551622641524e7,1.870535300007749e7
2,32062,81,1,3600.113,3600.044,9.034,0.0,2.6834748583927847e7,1.6723326477538263e7,2.6834748583927847e7
30,31840,73,1,3600.132,3600.052,12.001,0.0,2.095016966515011e7,1.2686717672676312e7,2.0950169665150113e7
31,38325,92,1,3600.098,3600.036,8.731,0.0,1.6669282557233779e7,1.0487473119641813e7,1.6669282557233777e7
32,35934,85,1,3600.222,3600.037:1.0:3599.037 => 0.0,9.123,1.6119985430271104e7,9.650207711497854e6,1.6119985430271104e7
33,37451,89,1,3600.125,3600.041,8.72,0.0,1.9543517547950372e7,1.2050557555620534e7,1.9543517547950372e7
34,36275,100,1,3600.025,3600.049:1.0:3599.049 => 0.0,10.813,1.6267712622317923e7,1.0021515593445681e7,1.6267712622317923e7
35,30470,74,1,3600.001,3600.107,11.341,0.0,1.8078843896427747e7,1.3417088004062727e7,2.1830988882965446e7
36,32565,95,1,3600.055,3600.045,11.447,0.0,1.318415277849819e7,8.75269488879909e6,1.3184152778498191e7
37,28744,102,1,3600.052,3600.205,11.095,0.0,1.514988702942265e7,1.076952568767056e7,1.5266401285330895e7
38,38822,79,1,3600.122,3600.029,8.809,0.0,1.6480121008501146e7,1.0728779860526841e7,1.6480121008501142e7
39,39505,97,1,3600.139,3600.028,8.733,0.0,1.3736888110685756e7,9.594194527206678e6,1.3736888110685756e7
3,29196,97,1,3600.03,3600.104,9.619,0.0,1.2305929476883754e7,8.241767479483502e6,1.2305929476883752e7
40,29965,89,1,3600.198,3600.113,11.99,0.0,2.2367064108982664e7,1.3695118481221547e7,2.2367064108982667e7
41,34679,98,1,3600.001,3600.029,9.207,0.0,2.9689487666169893e7,1.8322038782117806e7,2.968948766616989e7
42,37466,102,1,3600.132,3600.026,8.909,0.0,2.3335196093525417e7,1.4584590615439778e7,2.333519609352541e7
43,33284,81,1,3600.084,3600.051:1.0:3599.051 => 0.0,9.59,1.6861065872364115e7,1.0498777283353947e7,1.686106587236412e7
44,32860,88,1,3600.028,3600.043,9.788,0.0,1.8585292695777483e7,1.1288175834252466e7,1.8585292695777483e7
45,30643,107,1,3600.015,3600.049,9.674,0.0,1.2521228495292515e7,7.774830658672718e6,1.2521228495292513e7
46,31948,87,1,3600.146,3600.044,9.45,0.0,1.3894680112571077e7,8.386967606113008e6,1.3894680112571081e7
47,31227,85,1,3600.133,3600.083,9.422,0.0,2.6095919665028468e7,1.613783143716192e7,2.6095919665028468e7
48,35254,108,1,3600.075,3600.043:1.0:3599.043 => 0.0,9.691,1.312055182911378e7,9.173871502294753e6,1.3333887245770276e7
49,35534,84,1,3600.186,3600.048:1.0:3599.048 => 0.0,9.278,2.2962451329577014e7,1.3881635915488323e7,2.296245132957702e7
4,32234,100,1,3600.029,3600.088,8.904,0.0,1.3136868014639717e7,8.61105482803999e6,1.3136868014639717e7
50,39056,97,1,3600.132,3600.027:1.0:3599.027 => 0.0,8.731,1.444440101083182e7,9.973678256697815e6,1.4444401010831822e7
5,31213,90,1,3600.149,3600.066,9.22,0.0,1.933870406469573e7,1.2662635977848379e7,1.9338704064695735e7
6,33576,83,1,3600.185,3600.048,9.51,0.0,2.142883552717452e7,1.3058518833269944e7,2.142883552717452e7
7,32166,88,1,3600.12,3600.05,10.928,0.0,1.2071960271388065e7,8.335777416544943e6,1.2071960271388063e7
8,32483,97,1,3600.121,3600.051,12.396,0.0,1.4865560583478168e7,9.460110748967119e6,1.486556058347817e7
9,32815,82,1,3600.188,3600.047:1.0:3599.047 => 0.0,10.308,2.227839326674437e7,1.3004703372656316e7,2.2278393266744364e7
